Country,Institution,Type,Project,Amount (in USD),Financial Close,Region,Recipient Country,Recipient Subregion,Project Sponsor,Construction Company,Generator Manufacturer,Source 1,Notes,Source 2,Source 3,Sector Group,Sector,Plant Type,Total Project Value ,Status,Power Plant Size (MW) or Share ,Annual Emissions (MMTCO2),Lifetime Emissions (MMTCO2) ,Coal Mine Size (Mtpa) ,Full MW Size ,Parent Company,SSS Manufacturer,Turbine Manufacturer,Architechture/Engineering,GPPD ID,Latitude,Longitude,Location Source
Multilateral,World Bank - International Finance Corporation,Multilateral,Oyu Tolgoi Power Plant ,"$28,000,000 ",2/28/2013,Central Asia and Caucasus,Mongolia,,"Oyu Tolgoi, LLC",,,https://ifcndd.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/f31022fd70f070f785257a62005d3f59?opendocument,"IFC's  investment is a $400 million senior A Loan together with a B Loan of up to $600 million loan to be syndicated to international commercial banks, as part of a proposed $4billion project debt financing. The total project cost $7.1 billion. The coal plant cost $500 million, representing 7% of project costs. Amount included is $400 mil *.07 = $28,000,000

This project differs from the institution's list of projects. Primary areas of disagreement are on 1) policy loans that included coal components, 2) private sector financing to projects or companies that include coal components orrely on coal power and 3) financing to financial intermediaries that have a heavy emphasis on supporting coal. 

Bank Response:Not a coal power plant. IFC financing is on hold. If it goes ahead, it would support the copper and gold mine. If the sponsor Rio Tinto decides to build a power plant at an associated facility, IFC would require Rio to ascertain all possible alternatives to coal for such a power plant.",,,Other/Unspecified,Coal - Policy,,,Financial Close,750,0.85,34,,,,,,,,43.00833,106.843056,GCPT
Germany,Euler Hermes,Export Credit & Insurance,Plants for the mining of coal,"$64,112,500 ",3/1/2013,Central Asia and Caucasus,Kazakhstan,,ThyssenKrupp Resource Technologies AG,,,http://www.agaportal.de/en/aga/projektinformationen/liste.html,"The German website cited lists this as a ""category 3"" project which is defined as projects receiving ""up to 100 million euro in cover"". Conservatively we have included this as 50 million euros even though it could be up to 100 million since the lower category -- category 2 is for ""up to 50 million euros). We converted to USD using the rate at the end of March since no exact date has been provided. ",,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Polesine San Gabriel Wind Farm Financing (50MW),"$55,170,000 ",3/11/2013,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,16.67,,,,16.7,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Polesine San Gabriel Wind Farm Financing (50MW),"$16,670,000 ",3/11/2013,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,16.67,,,,16.7,KfW,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Azure Rooftop,"$4,600,000 ",3/11/2013,South Asia,India,,AZURE SUN ENERGY PRIVATE LIMITED,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/8245df2994845eec85257a1d0069d3d7?opendocument,,Renewables,Solar,,,Financial Close,,,,,,,,,,,,,
United Kingdom,Department for International Development (DfID),Export Credit & Insurance,On Grid Small Scale Renewable Energy in Uganda ,"$39,384,927 ",3/15/2013,Sub-Saharan Africa,Uganda,,Donor Government,,,Oil Change International’s Shift the Subsidies Database,,https://devtracker.dfid.gov.uk/projects/GB-1-203624,,Renewables,Renewables - Clean,,,,,,,,,,,,,,,,
Multilateral,World Bank - International Bank for Reconstruction and Development,Multilateral,CN: Beijing Rooftop Solar Photovoltaic Scale-Up (Sunshine Schools) Project,"$120,000,000 ",3/20/2013,East Asia,China,,Government of China,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.worldbank.org/projects/P125022/cn-beijing-energy-efficiency-emission-reduction-demo?lang=en  
http://www.worldbank.org/en/news/press-release/2013/03/20/china-world-bank-support-rooftop-solar-for-schools-low-carbon-city-and-key-urban-infrastructure-development",,Renewables,Solar,,,Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Bhilwara Captive,"$7,560,000 ",3/20/2013,South Asia,India,,LNJ Power Vent,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,https://ifcndd.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/26aff23f50ea48c485257afe006bba4c?opendocument,,Renewables,Wind,,,Financial Close,20,,,,,,,,,WRI1026664,17.3816,74.5345,WRI
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Mahindra Suryaprakash Private Ltd.,"$1,514,316 ",3/21/2013,South Asia,India,,Mahindra Suryaprakash Private Ltd.,,,Oil Change International’s Shift the Subsidies Database,,http://www.exim.gov/sites/default/files/reports/annual/annual-report-2013.pdf (see p.33),,Renewables,Solar,,,,,,,,,,,,,,,,
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Solarfield Energy Two Private Ltd.,"$514,543 ",3/21/2013,South Asia,India,,Solarfield Energy Two Private Ltd.,,,Oil Change International’s Shift the Subsidies Database,,http://www.exim.gov/sites/default/files/reports/annual/annual-report-2013.pdf (see p.33),,Renewables,Solar,,,,,,,,,,,,,,,,
China,China Development Bank,Other Public Financer,En+ Group and Shenhua Group coal mining and exploration,"$2,000,000,000 ",3/22/2013,Central Asia and Caucasus,Russia,," 
En+ Group and Shenhua Group",,,http://www.platts.com/latest-news/coal/moscow/russian-en-china-development-bank-chinese-shenhua-7656113 http://news.guidechem.com/2013/03/25/17655.html http://www.reuters.com/article/2013/03/22/russia-china-coal-idUSL6N0CE0JX20130322 http://www.basel.ru/en/articles/enplus_11_12_13 http://www.brookings.edu/blogs/up-front/posts/2013/04/01-china-russia-energy-relations-downs ,,https://ijglobal.com/articles/83858/east-russian-coal-deal-signed-with-chinese-giants,,Coal Mining,Coal - mining,,,Financial Close,,0,0,,,,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Caval Ridge Coal Mine Development Project,"$1,473,932,460 ",3/27/2013,Oceania,Australia,,MC Finance Australia Pty Ltd (Subsidary of Mitsubishi Corporation),,,http://www.jbic.go.jp/en/information/press/press-2012/0327-7392,,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,6,,,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Cochrane Coal-Fired Power Project,"$500,000,000 ",3/28/2013,Latin America & Caribbean,Chile,,Empresa Electrica Cochrane SpA (a subsidiary of Mitsubishi Corporation),,,http://www.jbic.go.jp/en/information/press/press-2012/0328-7393,"Bank group finances Chile's Cochrane power project. (2013). Trade Finance, 16(3), 18.",http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf,,Other/Unspecified,Coal - Policy,,,Financial Close,236,0.27,11,,,,,,,,,,
Japan,Japan International Cooperation Agency (JICA),Other Public Financer,Indramayu Coal Fired Power Plant Project,"$18,371,826 ",3/28/2013,Southeast Asia,Indonesia,,PT PLN (Persero),,,http://www.jica.go.jp/english/news/press/2012/130328_02.html,,http://www.jica.go.jp/english/our_work/social_environmental/id/asia/southeast/indonesia_a02.htmlJICA Website,,Other/Unspecified,Coal - Policy,,,Financial Close,990,1.13,45,,,,,,,WRI1000939,-6.2747,107.9704,WRI
Japan,Nippon Export and Investment Insurance (NEXI),Export Credit & Insurance,Cochrane Coal-fired Power Project,"$250,000,000 ",3/28/2013,Latin America & Caribbean,Chile,,Mitsubishi Corporation,,,http://www.nexi.go.jp/topics/en/newsrelease/004735.html,,,,Other/Unspecified,Coal - Policy,,,Financial Close,236,0.27,11,,,,,,,,-23.06341,-70.365837,GCPT
China,China Development Bank,Other Public Financer,Cilacap coal-fired power plant (660MW),"$900,000,000 ",4/3/2013,Southeast Asia,Indonesia,,PT SUMBER SEGARA PRIMADAYA,,SHANGHAI,http://www.mofcom.gov.cn/article/i/jyjl/j/201304/20130400078299.shtml,,http://www.sourcewatch.org/index.php/Cilacap_Sumber_power_station,,Coal Power Plant,Coal - Policy,Supercritical,,Financial Close,660,0.75,30,,,PT SUMBER ENERGI/PT INDO POWER,,,,,-7.684,109.131,GCPT
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Gaia Enolia Solar Energy SRL,"$9,563,113 ",4/5/2013,Europe,Romania,,Gaia Enolia Solar Energy SRL,,,Oil Change International’s Shift the Subsidies Database,,http://www.exim.gov/sites/default/files/reports/annual/annual-report-2013.pdf (see p.36),,Renewables,Solar,,,,,,,,,,,,,,,,
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Gaia Enolia Solar Energy SRL,"$8,275,433 ",4/5/2013,Europe,Romania,,Gaia Enolia Solar Energy SRL,,,Oil Change International’s Shift the Subsidies Database,,http://www.exim.gov/sites/default/files/reports/annual/annual-report-2013.pdf (see p.36),,Renewables,Solar,,,,,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Gansu Jinta Concentrated Solar Power Project,"$550,000 ",4/8/2013,East Asia,China,,Government of China,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://www.adb.org/projects/47006-001/main,,Renewables,Solar,,,Financial Close,,,,,,,,,,WRI1025977,39.95,98.982,WRI
Multilateral,Asian Development Bank (ADB),Multilateral,Solarco PV Plants Financing (57MW),"$35,000,000 ",4/12/2013,Southeast Asia,Thailand,, Solarco ,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial close,57,,,,57,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Foundation Wind Energy Wind Farm II (50MW),"$33,180,000 ",4/16/2013,South Asia,Pakistan,,  Foundation Wind Energy II Limited ,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial close,25,,,,25,,,,,WRI1030467,24.5757,67.4626,WRI
China,China Development Bank,Other Public Financer,Tiroda Power Plant - Gondia - Additional Facility,"$160,000,000 ",4/22/2013,South Asia,India,,Adani Power,,,IJ Global: Project Finance and Infrastructure Journal,,,,Other/Unspecified,Coal - Policy,,,Financial Close,1100,1.25,50,,,,,,,,21.4125018,79.9673098,GCPT
France,Agence Francaise de Development - Proparco,Other Public Financer,NSL Renewable Power Private Limited ,"$15,666,819 ",4/22/2013,South Asia,India,,NSL Renewable Power Private Limited ,,,Oil Change International’s Shift the Subsidies Database,,"http://www.proparco.fr/lang/en/Accueil_PROPARCO/Actus-Events-Proparco/News_PROPARCO (news release: April 22, 2013)   

http://www.vccircle.com/news/cleantech/2013/04/30/deg-proparco-others-invest-60m-nsl-renewable-power   

http://www.business-standard.com/article/companies/nsl-group-raises-60-mn-to-fund-renewable-energy-113042900599_1.html",,Renewables,Wind,,,,,,,,,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Gnatkov Solar Energy Project,"$5,247,800 ",4/22/2013,Europe,Ukraine,,Rengy Tomashpil,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://www.ebrd.com/news/2013/ebrd-boosts-renewable-energy-sector-portfolio-in-ukraine.html,,Renewables,Solar,,,Financial Close,5,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Pintado Wind Farm Financing (Luz de Mar) (88MW),"$11,720,000 ",4/24/2013,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,44,,,,44,KfW,,,,URY0000882,-33.8763,-56.3505,WRI
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Sai Maithili Power Company Ltd.,"$8,968,850 ",4/25/2013,South Asia,India,,Sai Maithili Power Company Ltd.,,,Oil Change International’s Shift the Subsidies Database,,"http://www.exim.gov/sites/default/files/reports/annual/annual-report-2013.pdf (see p.33)    

http://www.exim.gov/news/california-company-miasol%C3%A9-exports-thin-film-solar-panels-for-solar-energy-project-india-backed",,Renewables,Solar,,,,,,,,,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Sunelectra Power Project,"$5,330,660 ",4/29/2013,Europe,Ukraine,,ET Solutions and Sunelectra Global ,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.ebrd.com/news/2013/ebrd-supports-renewable-energy-project-in-southern-ukraine.html  

http://renewable-energy-industry.com/press-releases/press-releases_detail.php?changeLang=en_GB&newsid=4592",,Renewables,Solar,,,Financial Close,4.2,,,,,,,,,,,,
Multilateral,Inter-American Development Bank,Multilateral,Palmatir Wind Financing (50MW),"$39,600,000 ",4/30/2013,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,25,,,,25,,,,,,,,
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Palmatir Wind Financing (50MW),"$72,700,000 ",4/30/2013,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,25,,,,25,,,,,,,,
France,Compagnie Francaise d'Assurance pour le Commerce Exterieur (COFACE),Export Credit & Insurance,"Kusile coal-fired power plant, guarantee to cover a loan used for the control and instrumentation contract supplied by Alstom","$83,563,944 ",5/1/2013,Sub-Saharan Africa,South Africa,,Alstom Power Systems SA,,,http://www.coface.fr/content/download/46639/532929/version/4/file/Contrats+gtis+2%C3%A8me+trimestre+2013.pdf,This final loan was made sometime between April and June 2013. We have documented it as May to fall in the middle of that range and used the currency conversion rate for May 15.,,,Other/Unspecified,Coal - Policy,,,Financial Close,800,0.91,36,,,,,,,,-25.9200701,28.924942,GCPT
Multilateral,World Bank - International Finance Corporation,Multilateral,Aura Solar PV Financing (36.8MW),"$25,000,000 ",5/8/2013,Latin America & Caribbean,Mexico,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,18.4,,,,18.4,,,,,,,,
Multilateral,World Bank - International Development Association,Multilateral,Clean-up & Land Reclamation Project (Additional Financing),"$4,200,000 ",5/10/2013,Europe,Kosovo,,Government of Kosovo,,,http://www.ebrd.com/work-with-us/projects/psd/pavlodar-energo.html,"Loan (General energy - 69%) The objectives of the Second Additional Financing for the Energy Sector Clean-Up and Land Reclamation Project (CLRP) are to: a) address environmental legacy issues related to open dumping of ashes on land; b) enable Kosovo Energy Corporation (KEK) to free land for community development purposes currently taken by overburden materials and enable KEK to remediate the Kosovo A ash dump; and c) build capacity in KEK for continued clean-up and environmentally good practice mining operations.

Bank response: Original 2006 project included preparation of Mirash Open Pit Mine for Ash Management; Remediation of Kosovo A Ash Dump; Reclamation of Overburden Dump Areas. Additional Financing funds tree planting in overburden areas; scale-up of ongoing tar deposits/tar sludge removal",,,Coal Mining,Coal Mining - Cleanup,,,Financial Close,,0,0,,,,,,,,,,
